syn	length	gc
ENSG00000235578.1	AC007731.2	446	0.52
ENSG00000287446.1	AC007731.5	1102	0.436
ENSG00000207343.1	RNU6-225P	103	0.456
ENSG00000277971.1	AC007731.4	644	0.665
ENSG00000215493.3	AC007731.1	1703	0.481
ENSG00000255156.1	RNY1P9	109	0.45
ENSG00000201916.1	Y_RNA	111	0.423
ENSG00000242876.3	RN7SL812P	279	0.527
ENSG00000236670.1	KRT18P5	1291	0.547
ENSG00000236003.1	AC007731.3	652	0.518
ENSG00000250261.1	CCDC74BP1	1123	0.595
ENSG00000276427.1	IGLL4P	133	0.549
ENSG00000238125.1	SLC9A3P2	2021	0.536
ENSG00000229107.2	ABHD17AP4	909	0.668
ENSG00000235062.4	BCRP5	253	0.609
ENSG00000272600.1	AC007308.1	373	0.426
ENSG00000237476.1	LINC01637	684	0.633
ENSG00000285314.1	AC002470.2	3442	0.602
ENSG00000272829.1	AC002470.1	395	0.529
ENSG00000284060.1	AC002472.2	958	0.579
ENSG00000284130.1	AC002472.3	621	0.61
ENSG00000226872.2	AC002472.1	714	0.552
ENSG00000207575.1	MIR649	97	0.361
ENSG00000249680.2	TUBA3GP	1325	0.559
ENSG00000284665.1	AC002472.4	272	0.651
ENSG00000197210.7	AP000550.1	4833	0.568
ENSG00000239511.2	POM121L7P	2404	0.606
ENSG00000224688.1	E2F6P2	748	0.453
ENSG00000234503.1	AP000550.2	774	0.459
ENSG00000283145.1	AP000550.3	379	0.551
ENSG00000226885.1	E2F6P3	743	0.452
ENSG00000229266.1	POM121L8P	1281	0.608
ENSG00000169662.8	BCRP6	632	0.592
ENSG00000237407.1	AP000552.2	775	0.458
ENSG00000232771.2	PPP1R26P5	3664	0.615
ENSG00000286102.1	AP000552.4	699	0.781
ENSG00000226534.1	AP000552.1	689	0.582
ENSG00000273846.1	Metazoa_SRP	320	0.55
ENSG00000274600.1	RIMBP3B	6105	0.625
ENSG00000200057.1	RN7SKP63	301	0.492
ENSG00000252020.1	AP000552.3	143	0.552
ENSG00000275840.1	Metazoa_SRP	318	0.469
ENSG00000276800.1	Metazoa_SRP	317	0.505
ENSG00000252143.1	AP000557.1	143	0.552
ENSG00000222352.1	RN7SKP221	301	0.498
ENSG00000275293.1	Metazoa_SRP	320	0.553
ENSG00000273342.1	AP000553.3	441	0.422
ENSG00000207751.3	AP000553.1	1093	0.54
ENSG00000212102.1	MIR301B	78	0.526
ENSG00000283871.1	MIR130B	82	0.573
ENSG00000284630.1	AP000553.5	471	0.62
ENSG00000284651.1	AP000553.6	54	0.574
ENSG00000284654.1	AP000553.7	118	0.551
ENSG00000284621.1	AP000553.4	71	0.408
ENSG00000272954.1	AP000553.2	430	0.479
ENSG00000286365.1	AP000553.9	968	0.454
ENSG00000244671.3	RN7SL280P	288	0.528
ENSG00000286127.1	AP000553.8	1138	0.464
ENSG00000200985.1	RNA5SP493	91	0.56
ENSG00000225544.1	AC245452.1	392	0.464
ENSG00000253239.1	IGLVI-70	390	0.562
ENSG00000211637.2	IGLV4-69	419	0.597
ENSG00000254355.1	IGLVI-68	345	0.559
ENSG00000278657.1	AC245452.4	780	0.503
ENSG00000249333.1	AC245452.3	375	0.52
ENSG00000253794.1	IGLV10-67	325	0.572
ENSG00000228161.1	AC245452.2	162	0.549
ENSG00000253874.1	IGLVIV-66-1	460	0.498
ENSG00000254075.1	IGLVV-66	341	0.563
ENSG00000254161.1	IGLVIV-65	360	0.531
ENSG00000253242.1	IGLVIV-64	301	0.542
ENSG00000253752.1	IGLVI-63	384	0.516
ENSG00000253823.1	IGLV1-62	441	0.565
ENSG00000275361.1	AC245517.5	162	0.5
ENSG00000211638.2	IGLV8-61	414	0.548
ENSG00000225741.1	AC245517.1	1262	0.441
ENSG00000263366.2	ABHD17AP5	923	0.678
ENSG00000236118.1	AC245517.4	281	0.477
ENSG00000233720.1	AC245517.3	250	0.536
ENSG00000211639.2	IGLV4-60	362	0.569
ENSG00000227710.1	AC245517.2	346	0.509
ENSG00000224465.1	SOCS2P2	574	0.462
ENSG00000254308.1	IGLVIV-59	250	0.488
ENSG00000253637.1	IGLVV-58	304	0.507
ENSG00000236323.1	BMP6P1	679	0.462
ENSG00000211640.4	IGLV6-57	353	0.569
ENSG00000253126.1	IGLVI-56	342	0.558
ENSG00000211641.3	IGLV11-55	381	0.572
ENSG00000253935.1	IGLVIV-53	367	0.526
ENSG00000228050.1	TOP3BP1	1380	0.632
ENSG00000234726.1	AC245060.3	1242	0.48
ENSG00000279278.1	AC245060.6	8420	0.459
ENSG00000274422.1	AC245060.5	3293	0.287
ENSG00000234630.1	AC245060.2	524	0.643
ENSG00000286129.1	AC245060.7	2895	0.495
ENSG00000272779.1	AC245060.4	1121	0.444
ENSG00000211643.2	IGLV5-52	379	0.546
ENSG00000211644.3	IGLV1-51	389	0.568
ENSG00000211645.2	IGLV1-50	405	0.585
ENSG00000225724.1	ASH2LP3	1642	0.432
ENSG00000223350.2	IGLV9-49	409	0.584
ENSG00000232515.1	AC245060.1	358	0.494
ENSG00000211647.1	IGLV5-48	369	0.534
ENSG00000211648.2	IGLV1-47	407	0.58
ENSG00000237428.1	ASH2LP2	1561	0.446
ENSG00000211649.3	IGLV7-46	385	0.577
ENSG00000232603.1	AC245291.3	292	0.531
ENSG00000211650.2	IGLV5-45	397	0.549
ENSG00000211651.3	IGLV1-44	467	0.57
ENSG00000211652.2	IGLV7-43	385	0.566
ENSG00000254175.1	IGLVI-42	381	0.549
ENSG00000254073.1	IGLVVII-41-1	151	0.55
ENSG00000253818.1	IGLV1-41	406	0.567
ENSG00000211653.2	IGLV1-40	407	0.602
ENSG00000224144.1	ASH2LP1	985	0.411
ENSG00000253889.1	IGLVI-38	385	0.527
ENSG00000211654.2	IGLV5-37	374	0.54
ENSG00000211655.3	IGLV1-36	393	0.567
ENSG00000230821.1	AC245291.2	1651	0.438
ENSG00000253631.1	IGLV7-35	340	0.553
ENSG00000226595.1	AC245291.1	328	0.454
ENSG00000169548.3	ZNF280A	2148	0.447
ENSG00000220891.1	LL22NC03-63E9.3	3111	0.493
ENSG00000253120.1	IGLV2-34	283	0.555
ENSG00000211656.3	IGLV2-33	412	0.558
ENSG00000211657.3	IGLV3-32	383	0.564
ENSG00000253920.1	IGLV3-31	297	0.525
ENSG00000253329.1	IGLV3-30	298	0.55
ENSG00000215456.6	BCRP4	804	0.58
ENSG00000286941.1	AC244250.4	2412	0.554
ENSG00000253338.1	IGLV3-29	244	0.541
ENSG00000253451.1	IGLV2-28	304	0.562
ENSG00000211658.2	IGLV3-27	377	0.568
ENSG00000253913.1	IGLV3-26	302	0.583
ENSG00000253779.1	IGLVVI-25-1	249	0.498
ENSG00000211659.2	IGLV3-25	380	0.568
ENSG00000232350.1	AC244250.2	148	0.527
ENSG00000223999.1	AC244250.1	451	0.594
ENSG00000253822.1	IGLV3-24	197	0.538
ENSG00000211660.3	IGLV2-23	502	0.598
ENSG00000253546.1	IGLVVI-22-1	211	0.474
ENSG00000211661.2	IGLV3-22	409	0.572
ENSG00000211662.2	IGLV3-21	602	0.596
ENSG00000254240.1	IGLVI-20	130	0.508
ENSG00000211663.2	IGLV3-19	377	0.552
ENSG00000278667.1	AC244250.3	366	0.617
ENSG00000211664.3	IGLV2-18	367	0.578
ENSG00000253152.1	IGLV3-17	244	0.533
ENSG00000211665.3	IGLV3-16	385	0.548
ENSG00000253786.1	IGLV3-15	244	0.578
ENSG00000211666.2	IGLV2-14	402	0.58
ENSG00000253590.1	IGLV3-13	223	0.565
ENSG00000211667.3	IGLV3-12	356	0.581
ENSG00000231392.1	AC244157.1	163	0.534
ENSG00000275772.1	AC244157.2	1006	0.598
ENSG00000211668.2	IGLV2-11	400	0.578
ENSG00000274381.1	AC245028.3	285	0.526
ENSG00000211669.3	IGLV3-10	382	0.56
ENSG00000226477.1	AC245028.1	256	0.516
ENSG00000211670.2	IGLV3-9	461	0.586
ENSG00000278196.3	IGLV2-8	517	0.6
ENSG00000284049.1	MIR650	96	0.646
ENSG00000237127.1	AC245028.2	253	0.553
ENSG00000254077.1	IGLV3-7	271	0.502
ENSG00000253448.1	IGLV3-6	250	0.52
ENSG00000253234.1	IGLV2-5	277	0.552
ENSG00000226420.1	IGLV3-4	244	0.5
ENSG00000211672.2	IGLV4-3	403	0.563
ENSG00000253963.1	IGLV3-2	229	0.515
ENSG00000211673.2	IGLV3-1	398	0.578
ENSG00000264824.1	MIR5571	113	0.434
ENSG00000211674.2	IGLJ1	127	0.638
ENSG00000211675.2	IGLC1	460	0.583
ENSG00000211676.2	IGLJ2	175	0.629
ENSG00000211677.2	IGLC2	462	0.574
ENSG00000211678.2	IGLJ3	176	0.619
ENSG00000211679.2	IGLC3	462	0.571
ENSG00000211680.2	IGLJ4	33	0.424
ENSG00000254029.1	IGLC4	248	0.552
ENSG00000211681.2	IGLJ5	72	0.556
ENSG00000254030.1	IGLC5	293	0.549
ENSG00000211682.2	IGLJ6	70	0.543
ENSG00000222037.5	IGLC6	317	0.599
ENSG00000211684.2	IGLJ7	46	0.63
ENSG00000211685.3	IGLC7	441	0.603
ENSG00000237472.1	AC245054.2	319	0.414
ENSG00000223679.1	AC245054.1	258	0.395
ENSG00000283438.1	Metazoa_SRP	276	0.536
ENSG00000275635.1	U7	60	0.383
ENSG00000236794.5	BCRP8	255	0.643
ENSG00000240160.3	RN7SL263P	290	0.548
ENSG00000230701.2	FBXW4P1	2239	0.587
ENSG00000214526.3	AP000343.1	385	0.551
ENSG00000236611.1	LINC02556	346	0.477
ENSG00000248409.2	AP000344.2	1202	0.651
ENSG00000178248.11	FAM230I	1578	0.508
ENSG00000287864.1	AP000345.3	967	0.565
ENSG00000225413.2	LINC02557	477	0.549
ENSG00000272733.1	AP000345.2	1081	0.52
ENSG00000278655.1	AP000346.4	381	0.609
ENSG00000275609.1	AP000346.3	210	0.552
ENSG00000211683.3	AP000346.1	1087	0.517
ENSG00000244723.3	ASLP1	637	0.601
ENSG00000187792.5	ZNF70	6940	0.513
ENSG00000272973.1	AP000350.5	613	0.449
ENSG00000251357.4	AP000350.4	788	0.6
ENSG00000279467.1	AP000350.7	8030	0.494
ENSG00000244425.3	RN7SL268P	298	0.547
ENSG00000218537.1	MIF-AS1	1476	0.648
ENSG00000273295.1	AP000350.6	5637	0.505
ENSG00000225282.1	AP000350.2	1763	0.431
ENSG00000206090.4	AP000350.1	532	0.536
ENSG00000231271.1	AP000350.3	289	0.592
ENSG00000228039.3	AC253536.2	254	0.626
ENSG00000099974.8	DDTL	1582	0.509
ENSG00000272787.1	AC253536.6	663	0.526
ENSG00000285762.1	AC253536.7	805	0.579
ENSG00000224205.2	AC253536.1	699	0.587
ENSG00000250470.1	AC253536.5	347	0.599
ENSG00000235689.1	AC253536.4	267	0.569
ENSG00000232545.1	AC253536.3	558	0.548
ENSG00000230712.3	GGTLC4P	675	0.606
ENSG00000225098.1	BCRP1	691	0.596
ENSG00000215464.4	AP000354.1	456	0.535
ENSG00000258555.6	SPECC1L-ADORA2A	6204	0.529
ENSG00000228923.1	AP000355.1	480	0.475
ENSG00000230947.2	AP000356.1	364	0.47
ENSG00000284233.1	AP000356.4	172	0.634
ENSG00000284070.1	AP000356.2	4634	0.566
ENSG00000224124.3	POM121L10P	1285	0.604
ENSG00000224806.2	ARL5AP4	512	0.396
ENSG00000224334.1	AP000357.1	1165	0.421
ENSG00000282012.1	AP000357.2	597	0.531
ENSG00000237601.1	AP000358.1	156	0.622
ENSG00000182351.7	CRIP1P4	229	0.611
ENSG00000199783.1	AL049759.1	68	0.441
ENSG00000279085.1	AL022323.2	5388	0.458
ENSG00000279548.1	AL022323.4	2059	0.469
ENSG00000279006.1	AL022323.1	3000	0.496
ENSG00000279110.1	AL022323.3	13120	0.493
ENSG00000203280.4	KIAA1671-AS1	957	0.549
ENSG00000271181.1	Z99916.2	246	0.659
ENSG00000279298.1	Z99916.3	1080	0.386
ENSG00000285968.1	AL022324.4	959	0.643
ENSG00000285690.1	AL022332.2	190	0.547
ENSG00000206066.3	IGLL3P	434	0.599
ENSG00000230637.2	AL022324.1	663	0.537
ENSG00000231466.2	AL022324.2	780	0.418
ENSG00000272942.1	AL022324.3	747	0.487
ENSG00000272798.1	AL008721.1	604	0.5
ENSG00000271138.1	IGLVIVOR22-1	397	0.564
ENSG00000277872.1	MIR6817	66	0.545
ENSG00000272977.1	AL008721.2	3754	0.471
ENSG00000237387.1	AL022329.2	660	0.394
ENSG00000224003.1	YES1P1	1628	0.407
ENSG00000222585.1	RNA5SP494	129	0.465
ENSG00000278960.1	AL022329.3	352	0.5
ENSG00000232464.1	Z98949.2	472	0.403
ENSG00000223056.1	RN7SKP169	291	0.474
ENSG00000232050.1	Z98949.1	144	0.326
ENSG00000236464.1	LINC02559	188	0.463
ENSG00000224192.2	SEZ6L-AS1	535	0.503
ENSG00000252267.1	RNA5SP495	110	0.482
ENSG00000230203.1	Z99714.1	807	0.395
ENSG00000128203.7	ASPHD2	3370	0.541
ENSG00000221760.1	MIR548J	112	0.446
ENSG00000213707.2	HMGB1P10	563	0.451
ENSG00000286326.1	Z95115.2	1383	0.552
ENSG00000226912.1	ISCA2P1	448	0.583
ENSG00000278404.1	Z99774.5	135	0.696
ENSG00000206028.1	Z99774.1	2613	0.548
ENSG00000277941.1	Z99774.4	149	0.597
ENSG00000275942.1	Z99774.2	85	0.553
ENSG00000276991.1	Z99774.3	377	0.546
ENSG00000231369.1	Z97353.1	578	0.531
ENSG00000279440.1	AL008638.3	5182	0.448
ENSG00000200443.1	RNU6-1066P	105	0.371
ENSG00000279914.1	AL008638.5	1298	0.438
ENSG00000279848.1	AL008638.4	1315	0.433
ENSG00000280025.1	AL008638.6	4254	0.433
ENSG00000231405.1	AL008638.1	473	0.516
ENSG00000238195.1	AL021153.1	308	0.481
ENSG00000233574.1	AL020994.3	274	0.511
ENSG00000223726.1	AL020994.1	578	0.483
ENSG00000287034.1	AL050402.2	856	0.543
ENSG00000227880.1	AL050402.1	770	0.504
ENSG00000224027.1	AL133456.1	577	0.556
ENSG00000227838.1	AL121885.2	819	0.466
ENSG00000231495.1	AL121885.3	115	0.539
ENSG00000226169.1	AL121885.1	451	0.479
ENSG00000277460.1	AL031591.2	162	0.679
ENSG00000264073.1	MIR3199-1	88	0.5
ENSG00000283225.1	MIR3199-2	86	0.5
ENSG00000276150.1	AL031591.1	157	0.344
ENSG00000274342.1	AL033538.1	181	0.608
ENSG00000276675.1	AL033538.2	112	0.554
ENSG00000239249.3	RN7SL757P	301	0.545
ENSG00000201209.1	SNORD42	68	0.309
ENSG00000199797.1	Y_RNA	97	0.412
ENSG00000276162.1	MIR5739	80	0.487
ENSG00000266503.2	RN7SL162P	292	0.541
ENSG00000272858.1	Z93930.3	749	0.455
ENSG00000224256.1	Z93930.1	245	0.584
ENSG00000235786.1	ZNRF3-IT1	674	0.455
ENSG00000177993.3	ZNRF3-AS1	2170	0.48
ENSG00000100249.4	C22orf31	995	0.498
ENSG00000226772.1	AL021393.1	539	0.386
ENSG00000200871.1	RNU6-810P	107	0.383
ENSG00000251952.1	RNU6-1219P	112	0.348
ENSG00000237015.1	AL031186.1	385	0.525
ENSG00000273216.1	AC002059.1	477	0.47
ENSG00000280968.1	AC002059.2	110	0.564
ENSG00000239127.1	SNORD125	96	0.552
ENSG00000242156.1	AC000041.1	175	0.474
ENSG00000278292.1	RFPL4AP6	846	0.459
ENSG00000128250.5	RFPL1	1496	0.469
ENSG00000100285.10	NEFH	3795	0.578
ENSG00000282816.1	AC000035.1	343	0.749
ENSG00000234208.1	AC005529.1	289	0.388
ENSG00000233010.1	RPEP4	602	0.473
ENSG00000239446.1	AC004882.2	244	0.533
ENSG00000100314.4	CABP7	3334	0.627
ENSG00000200976.1	Y_RNA	102	0.49
ENSG00000287967.1	AC004882.3	777	0.56
ENSG00000207455.1	RNU6-331P	107	0.43
ENSG00000279159.1	AC003681.1	49287	0.434
ENSG00000275818.1	MIR6818	65	0.431
ENSG00000227201.2	CNN2P1	918	0.566
ENSG00000226573.1	AC003071.1	315	0.543
ENSG00000225971.1	RPS3AP51	789	0.375
ENSG00000225676.2	AC002378.1	2210	0.402
ENSG00000232530.1	LIF-AS1	808	0.532
ENSG00000268812.3	AC004264.1	794	0.603
ENSG00000279699.1	AC004264.2	1737	0.515
ENSG00000273350.1	AC004832.5	401	0.441
ENSG00000222915.1	RNU6-564P	104	0.385
ENSG00000272689.1	AC004832.4	331	0.36
ENSG00000230137.1	AC004832.2	482	0.604
ENSG00000214161.3	SDC4P	601	0.547
ENSG00000225774.2	SIRPAP1	1770	0.588
ENSG00000223831.1	AC005006.1	249	0.562
ENSG00000250318.1	AC003072.1	612	0.564
ENSG00000288153.1	AC003072.2	335	0.478
ENSG00000264661.3	MIR3200	85	0.565
ENSG00000237977.1	EIF4HP2	563	0.474
ENSG00000276664.1	AC004542.5	145	0.366
ENSG00000276057.1	AC004542.4	87	0.356
ENSG00000276965.1	AC004542.6	237	0.515
ENSG00000275307.1	AC004542.3	181	0.42
ENSG00000269987.1	AC004542.2	546	0.408
ENSG00000269972.1	AC004542.1	264	0.432
ENSG00000278920.1	AC005005.4	16698	0.474
ENSG00000240186.3	RN7SL633P	297	0.508
ENSG00000273387.1	AC005005.3	1410	0.575
ENSG00000235573.2	AC005005.2	380	0.432
ENSG00000100078.4	PLA2G3	2600	0.585
ENSG00000214125.2	AC005005.1	682	0.541
ENSG00000264141.1	MIR3928	58	0.638
ENSG00000254835.1	RNF185-AS1	353	0.501
ENSG00000199695.1	RNU6-1128P	109	0.422
ENSG00000202019.1	Y_RNA	102	0.392
ENSG00000212542.1	RNA5SP496	109	0.477
ENSG00000206615.1	RNU6-338P	105	0.381
ENSG00000199248.1	RNU6-28P	107	0.411
ENSG00000287817.1	AL096701.4	873	0.51
ENSG00000233733.1	H2AZP6	394	0.47
ENSG00000229169.1	AL096701.2	238	0.45
ENSG00000214093.3	AL096701.1	457	0.503
ENSG00000284082.1	MIR7109	65	0.646
ENSG00000285404.1	Z82190.2	1914	0.487
ENSG00000242251.3	RN7SL20P	297	0.522
ENSG00000236132.1	AL022331.1	477	0.423
ENSG00000252909.1	RNU6-201P	61	0.41
ENSG00000227813.1	Z82190.1	490	0.337
ENSG00000227519.1	AL008719.1	473	0.529
ENSG00000240647.3	RN7SL305P	281	0.491
ENSG00000232346.1	Z74021.1	407	0.506
ENSG00000237439.1	Z83839.1	630	0.51
ENSG00000232707.1	AP1B1P2	106	0.491
ENSG00000239674.2	Z83839.2	274	0.522
ENSG00000230120.1	AL008723.1	562	0.4
ENSG00000275656.1	AL008723.3	88	0.511
ENSG00000254127.1	IGLCOR22-1	316	0.592
ENSG00000100191.5	SLC5A4	2030	0.5
ENSG00000214076.3	CPSF1P1	3730	0.59
ENSG00000273325.1	AL008723.2	449	0.356
ENSG00000271093.1	IGLCOR22-2	313	0.588
ENSG00000274617.1	AL021937.6	88	0.477
ENSG00000274170.1	AL021937.5	71	0.507
ENSG00000230736.2	AL021937.1	1558	0.5
ENSG00000243519.1	IGLVIVOR22-2	330	0.564
ENSG00000241954.1	AL021937.4	444	0.5
ENSG00000232218.1	AL021937.2	201	0.607
ENSG00000236054.1	Z82246.1	457	0.479
ENSG00000251890.1	RNA5SP497	97	0.505
ENSG00000229673.1	Z73495.1	147	0.544
ENSG00000100234.12	TIMP3	4597	0.487
ENSG00000228194.1	Z83846.1	265	0.34
ENSG00000228622.1	Z82198.1	437	0.529
ENSG00000233632.1	Z82198.3	199	0.467
ENSG00000232073.1	Z82198.2	567	0.497
ENSG00000230741.1	Z82173.1	484	0.523
ENSG00000266012.1	MIR4764	88	0.477
ENSG00000253007.2	SNORA50B	135	0.57
ENSG00000281295.1	Z69713.1	137	0.569
ENSG00000232081.1	LARGE-IT1	558	0.527
ENSG00000273082.1	Z73429.1	345	0.528
ENSG00000235485.1	AL021877.1	2194	0.552
ENSG00000280356.1	AL021877.2	10684	0.431
ENSG00000234891.1	Z82196.1	768	0.504
ENSG00000237316.1	Z82196.2	549	0.499
ENSG00000273068.1	Z99755.2	364	0.456
ENSG00000238153.1	Z99755.1	380	0.447
ENSG00000238584.1	RNU7-167P	62	0.387
ENSG00000273176.1	AL008635.1	385	0.481
ENSG00000266320.1	MIR3909	119	0.597
ENSG00000274280.1	MIR6069	79	0.684
ENSG00000282602.1	Z82244.2	448	0.594
ENSG00000282041.1	Z82244.1	840	0.549
ENSG00000233388.2	AL022334.1	1726	0.397
ENSG00000273044.1	AL022334.2	484	0.545
ENSG00000100302.7	RASD2	3447	0.61
ENSG00000268818.2	AL049747.1	852	0.563
ENSG00000221963.6	APOL6	10065	0.403
ENSG00000228587.1	AL049748.1	601	0.451
ENSG00000226336.2	MRPS16P3	374	0.519
ENSG00000128313.2	APOL5	1438	0.523
ENSG00000237406.1	NDUFA9P1	1135	0.47
ENSG00000279652.1	Z82217.1	8149	0.409
ENSG00000279927.1	Z95114.4	3578	0.477
ENSG00000279217.1	Z95114.1	14574	0.464
ENSG00000279714.1	Z95114.2	2205	0.475
ENSG00000279805.1	Z95114.3	1921	0.472
ENSG00000233764.1	MTCO1P20	358	0.397
ENSG00000231576.1	MTCO2P20	673	0.358
ENSG00000237948.1	MTATP6P20	562	0.347
ENSG00000225557.1	MTCO3P20	688	0.424
ENSG00000237129.1	MTCYBP34	670	0.391
ENSG00000229088.1	MTND1P10	832	0.409
ENSG00000278420.1	MIR6819	61	0.705
ENSG00000287269.1	Z82215.1	1001	0.537
ENSG00000223695.1	FO393418.1	510	0.533
ENSG00000237668.1	RPS15AP38	372	0.454
ENSG00000252225.1	Y_RNA	91	0.429
ENSG00000228719.1	AL022313.2	372	0.586
ENSG00000188078.5	AL022313.1	444	0.579
ENSG00000229971.1	AL022313.3	405	0.435
ENSG00000261675.1	AL022313.4	2046	0.518
ENSG00000234688.1	AL049749.1	632	0.457
ENSG00000287773.1	Z80897.2	732	0.519
ENSG00000286485.1	Z80897.1	2118	0.519
ENSG00000234979.1	Z82185.1	549	0.608
ENSG00000232254.1	CSF2RBP1	391	0.606
ENSG00000215403.1	LL22NC01-81G9.3	992	0.515
ENSG00000252412.1	Z73420.1	95	0.421
ENSG00000287236.1	Z73420.2	1158	0.497
ENSG00000201078.1	RN7SKP214	315	0.587
ENSG00000231467.2	AL022314.1	464	0.597
ENSG00000235237.1	Z82188.2	630	0.629
ENSG00000226233.1	Z82188.1	154	0.409
ENSG00000272694.1	Z94160.2	910	0.619
ENSG00000225867.1	AL022315.1	498	0.53
ENSG00000273866.1	Metazoa_SRP	254	0.535
ENSG00000285304.1	Z83844.2	3123	0.608
ENSG00000233360.4	PDXP-DT	1945	0.581
ENSG00000241333.3	RN7SL385P	276	0.543
ENSG00000100101.15	Z83844.1	4904	0.611
ENSG00000189060.5	H1-0	2344	0.532
ENSG00000128310.3	GALR3	1147	0.724
ENSG00000284197.1	MIR658	100	0.71
ENSG00000207696.1	MIR659	97	0.536
ENSG00000279738.1	AL022311.1	19416	0.479
ENSG00000207227.1	RNU6-900P	102	0.431
ENSG00000278948.1	AL031587.5	1849	0.522
ENSG00000272582.1	AL031587.3	814	0.483
ENSG00000284289.1	MIR6820	62	0.613
ENSG00000284266.1	MIR4534	60	0.55
ENSG00000222044.1	AL031587.1	1055	0.565
ENSG00000273214.1	AL031587.4	691	0.527
ENSG00000233739.1	AL031587.2	414	0.638
ENSG00000272720.1	AL022322.1	1433	0.482
ENSG00000279080.1	AL022322.2	20397	0.498
ENSG00000235246.1	AL020993.1	297	0.461
ENSG00000241693.2	RN7SL704P	274	0.602
ENSG00000277385.1	Metazoa_SRP	262	0.542
ENSG00000283900.1	TPTEP2-CSNK1E	1770	0.577
ENSG00000229955.1	Z98749.1	541	0.368
ENSG00000286144.1	Z97056.2	881	0.608
ENSG00000228620.1	Z97056.1	556	0.61
ENSG00000168135.4	KCNJ4	2065	0.655
ENSG00000286440.1	Z97056.3	620	0.547
ENSG00000224279.2	RPS29P31	164	0.47
ENSG00000230912.1	AL021707.4	410	0.466
ENSG00000287219.1	AL021707.9	485	0.524
ENSG00000229598.1	PRDX3P1	763	0.468
ENSG00000244491.1	AL021707.5	461	0.586
ENSG00000230149.2	AL021707.3	527	0.575
ENSG00000273096.1	AL021707.8	183	0.464
ENSG00000225450.1	AL021707.1	500	0.582
ENSG00000272669.1	AL021707.6	491	0.568
ENSG00000273076.1	AL021707.7	416	0.368
ENSG00000221890.5	NPTXR	5830	0.604
ENSG00000288106.1	AL022318.5	2919	0.41
ENSG00000235209.1	AL022318.1	678	0.454
ENSG00000249310.2	APOBEC3B-AS1	691	0.541
ENSG00000284554.2	AL022318.4	2121	0.509
ENSG00000259421.1	AL022318.2	258	0.558
ENSG00000226024.1	COX5BP7	274	0.533
ENSG00000279833.1	AL031846.2	3671	0.586
ENSG00000227009.1	FUNDC2P4	421	0.506
ENSG00000209480.1	SNORD83B	93	0.591
ENSG00000209482.1	SNORD83A	95	0.547
ENSG00000263764.1	SNORD43	64	0.453
ENSG00000280216.1	AL022326.2	406	0.488
ENSG00000227188.1	MGAT3-AS1	498	0.528
ENSG00000285025.1	AL022312.1	213	0.577
ENSG00000235647.1	MTFR2P2	1167	0.368
ENSG00000238875.1	RN7SKP210	261	0.421
ENSG00000226085.3	UQCRFS1P1	820	0.539
ENSG00000225528.3	Z82206.1	1322	0.45
ENSG00000261202.1	Z83847.1	1463	0.466
ENSG00000228599.1	RPL7P52	742	0.425
ENSG00000284431.1	AL022238.3	4563	0.584
ENSG00000272834.1	AL022238.2	443	0.562
ENSG00000227413.1	AL022238.1	355	0.42
ENSG00000232564.3	MRTFA-AS1	1932	0.469
ENSG00000172912.4	COX6B1P3	260	0.515
ENSG00000230071.2	RPL4P6	1304	0.466
ENSG00000231907.2	GAPDHP37	968	0.503
ENSG00000230769.1	Z98048.1	491	0.446
ENSG00000233603.1	JTBP1	247	0.486
ENSG00000266594.1	MIR4766	76	0.368
ENSG00000172404.5	DNAJB7	2565	0.367
ENSG00000273979.1	Metazoa_SRP	271	0.498
ENSG00000200683.1	RNU6-379P	104	0.385
ENSG00000222698.1	Y_RNA	95	0.389
ENSG00000237214.3	AL080243.2	582	0.586
ENSG00000199515.1	Y_RNA	93	0.441
ENSG00000213857.3	AL080243.1	1060	0.583
ENSG00000284015.1	MIR1281	54	0.667
ENSG00000252859.1	RNU6-375P	100	0.33
ENSG00000232754.1	AL035658.1	357	0.451
ENSG00000231993.1	EP300-AS1	457	0.505
ENSG00000215771.2	LRRC37A14P	462	0.457
ENSG00000274552.1	MIR6889	59	0.627
ENSG00000199865.1	RNU6-495P	107	0.449
ENSG00000273424.1	AL008582.1	442	0.5
ENSG00000286491.1	AL023553.1	365	0.512
ENSG00000200332.1	Y_RNA	102	0.441
ENSG00000285531.1	Z83840.1	381	0.415
ENSG00000207457.1	RNU6-476P	107	0.402
ENSG00000231261.1	HMGN2P10	265	0.502
ENSG00000252603.1	RNU6ATAC22P	89	0.438
ENSG00000206813.1	Y_RNA	102	0.402
ENSG00000184068.2	SREBF2-AS1	2989	0.575
ENSG00000207932.1	MIR33A	69	0.478
ENSG00000159958.7	TNFRSF13C	3923	0.561
ENSG00000283829.1	MIR378I	76	0.579
ENSG00000224883.1	Z99716.1	515	0.509
ENSG00000286659.1	Z99716.2	540	0.559
ENSG00000238498.1	SNORD13P1	104	0.471
ENSG00000270083.1	AL021878.2	399	0.451
ENSG00000213790.2	OLA1P1	1189	0.391
ENSG00000227370.1	AC254562.1	456	0.603
ENSG00000232710.1	AC254562.2	667	0.597
ENSG00000281538.1	AC254562.3	631	0.566
ENSG00000226450.2	CYP2D8P	1490	0.632
ENSG00000230107.1	AL022316.1	572	0.563
ENSG00000202058.1	RN7SKP80	283	0.569
