Geneid	syn	length	gc
ENST00000478849.1	ENSG00000054277.14	OPN3	880	0.556
ENST00000638121.1	ENSG00000203668.2	CHML	920	0.516
ENST00000478331.1	ENSG00000162843.17	WDR64	624	0.434
ENST00000469419.1	ENSG00000174371.17	EXO1	754	0.419
ENST00000474177.1	ENSG00000180287.17	PLD5	557	0.436
ENST00000666166.1	ENSG00000272865.2	AL591686.2	1629	0.445
ENST00000420830.1	ENSG00000231512.6	SEPTIN14P21	475	0.364
ENST00000627498.21	ENSG00000214837.8	LINC01347	3841	0.528
ENST00000469646.1	ENSG00000143702.16	CEP170	662	0.39
ENST00000437499.11	ENSG00000232085.1	AL606534.2	373	0.346
ENST00000435549.1	ENSG00000054282.16	SDCCAG8	1551	0.447
ENST00000673466.1	ENSG00000117020.18	AKT3	7281	0.411
ENST00000440494.11	ENSG00000226828.2	LINC02774	1799	0.455
ENST00000622512.11	ENSG00000179456.10	ZBTB18	3740	0.433
ENST00000470211.1	ENSG00000173728.11	C1orf100	841	0.422
ENST00000462358.1	ENSG00000035687.10	ADSS2	932	0.369
ENST00000428042.1	ENSG00000179397.18	CATSPERE	2895	0.377
ENST00000484738.1	ENSG00000121644.19	DESI2	1126	0.593
ENST00000464757.1	ENSG00000203667.10	COX20	2616	0.377
ENST00000649899.1	ENSG00000153187.20	HNRNPU	13084	0.379
ENST00000479923.1	ENSG00000203666.12	EFCAB2	721	0.519
ENST00000483253.1	ENSG00000162849.16	KIF26B	2262	0.611
ENST00000470863.1	ENSG00000185420.19	SMYD3	983	0.431
ENST00000651181.1	ENSG00000226876.3	AC092801.1	867	0.401
ENST00000483271.11	ENSG00000162852.14	CNST	2767	0.439
ENST00000508436.1	ENSG00000223519.8	KIF28P	554	0.518
ENST00000652908.1	ENSG00000227953.7	LINC01341	2773	0.566
ENST00000483900.1	ENSG00000153207.16	AHCTF1	3451	0.405
ENST00000498046.2	ENSG00000197472.15	ZNF695	504	0.526
ENST00000474541.1	ENSG00000135747.11	ZNF670-ZNF695	2751	0.475
ENST00000366501.1	ENSG00000188295.14	ZNF669	730	0.423
ENST00000491848.1	ENSG00000196418.12	ZNF124	701	0.475
ENST00000421406.11	ENSG00000227671.4	AL390728.4	1465	0.38
ENST00000462139.11	ENSG00000162714.12	ZNF496	9243	0.518
ENST00000642259.1	ENSG00000162711.18	NLRP3	3630	0.511
ENST00000641149.1	ENSG00000177535.8	OR2B11	6414	0.454
ENST00000641857.11	ENSG00000203664.7	OR2W5	1597	0.502
ENST00000531662.1	ENSG00000169224.13	GCSAML	558	0.518
ENST00000641802.1	ENSG00000196242.10	OR2C3	8509	0.429
ENST00000617752.1	ENSG00000284824.1	GCSAML-AS1	2481	0.509
ENST00000446347.1	ENSG00000236817.5	AL606804.1	481	0.399
ENST00000668726.1	ENSG00000235749.3	AL390860.1	1969	0.471
ENST00000642119.11	ENSG00000197437.4	OR13G1	2568	0.39
ENST00000641470.11	ENSG00000169214.4	OR6F1	1762	0.43
ENST00000366485.1	ENSG00000241128.2	OR14A2	945	0.419
ENST00000641256.11	ENSG00000221888.4	OR1C1	3719	0.368
ENST00000641506.1	ENSG00000228336.2	OR9H1P	4376	0.363
ENST00000641093.11	ENSG00000196772.4	OR14A16	1367	0.4
ENST00000641945.11	ENSG00000177462.7	OR2T8	1226	0.49
ENST00000641567.11	ENSG00000224227.3	OR2L1P	1023	0.444
ENST00000641771.1	ENSG00000203663.4	OR2L2	4300	0.38
ENST00000641649.1	ENSG00000198128.4	OR2L3	2846	0.37
ENST00000642003.11	ENSG00000197067.6	OR2T32P	1114	0.513
ENST00000641714.1	ENSG00000196071.5	OR2L13	1948	0.394
ENST00000641211.11	ENSG00000198601.3	OR2M2	1229	0.435
ENST00000641626.11	ENSG00000228198.3	OR2M3	9913	0.369
ENST00000641868.11	ENSG00000171180.2	OR2M4	5934	0.395
ENST00000641220.11	ENSG00000177212.4	OR2T33	4118	0.38
ENST00000641276.11	ENSG00000177201.2	OR2T12	5708	0.371
ENST00000366475.11	ENSG00000196944.4	OR2T4	1047	0.497
ENST00000641644.11	ENSG00000198104.3	OR2T6	4670	0.401
ENST00000642005.11	ENSG00000175143.4	OR2T1	2104	0.455
ENST00000641057.1	ENSG00000227152.6	OR2T7	3463	0.428
ENST00000641925.1	ENSG00000196240.4	OR2T2	3530	0.446
ENST00000641804.11	ENSG00000188558.6	OR2G6	6084	0.383
ENST00000666951.1	ENSG00000224521.2	AC098483.1	2423	0.395
ENST00000641069.11	ENSG00000182783.5	OR2T29	2637	0.424
ENST00000642090.11	ENSG00000184022.4	OR2T10	3519	0.406
ENST00000641193.11	ENSG00000279301.4	OR2T11	3770	0.428
ENST00000641268.11	ENSG00000177151.4	OR2T35	2957	0.444
ENST00000641652.11	ENSG00000187701.4	OR2T27	1285	0.489
ENST00000651827.11	ENSG00000286015.1	CR589904.2	1449	0.457
ENST00000636515.1	ENSG00000229703.6	LYPD9P	318	0.459
ENST00000475978.1	ENSG00000175137.11	SH3BP5L	4122	0.58
ENST00000423362.1	ENSG00000171161.13	ZNF672	883	0.563
ENST00000497847.1	ENSG00000171163.16	ZNF692	1031	0.631
ENST00000462488.1	ENSG00000185220.12	PGBD2	282	0.5
ENST00000460464.1	ENSG00000184731.6	FAM110C	552	0.397
ENST00000437798.11	ENSG00000227061.2	AC079779.1	4775	0.479
ENST00000481932.1	ENSG00000035115.22	SH3YL1	885	0.434
ENST00000463831.1	ENSG00000143727.16	ACP1	1015	0.392
ENST00000452023.1	ENSG00000189292.16	ALKAL2	809	0.681
ENST00000450709.11	ENSG00000228643.1	AC079779.2	694	0.493
ENST00000666288.1	ENSG00000235779.8	AC079779.3	1723	0.471
ENST00000430529.11	ENSG00000233684.2	LINC01865	845	0.475
ENST00000662862.1	ENSG00000226277.2	AC105393.1	2347	0.487
ENST00000427398.11	ENSG00000223985.2	LINC01874	510	0.486
ENST00000657562.11	ENSG00000233633.2	AC093326.1	2639	0.404
ENST00000477202.1	ENSG00000151353.15	TMEM18	1767	0.52
ENST00000445418.11	ENSG00000233296.2	TMEM18-DT	1943	0.495
ENST00000670510.11	ENSG00000227713.2	AC092159.1	1266	0.419
ENST00000659656.1	ENSG00000237667.7	LINC01115	3247	0.456
ENST00000449405.2	ENSG00000228799.6	LINC01939	560	0.545
ENST00000407292.1	ENSG00000172554.12	SNTG2	1436	0.526
ENST00000650512.11	ENSG00000231482.3	AC105450.1	2125	0.482
ENST00000650224.11	ENSG00000115705.22	TPO	1792	0.495
ENST00000493654.1	ENSG00000130508.11	PXDN	2796	0.506
ENST00000648928.1	ENSG00000186487.20	MYT1L	7322	0.474
ENST00000638628.11	ENSG00000284600.1	AC093390.2	1007	0.597
ENST00000448106.1	ENSG00000225619.1	MYT1L-AS1	3230	0.443
ENST00000655823.11	ENSG00000234929.2	AC018685.2	4578	0.545
ENST00000663497.1	ENSG00000237720.2	AC011995.2	3781	0.515
ENST00000457478.11	ENSG00000234423.2	LINC01250	2344	0.453
ENST00000425776.11	ENSG00000236760.1	AC019118.2	718	0.557
ENST00000441271.1	ENSG00000032389.13	EIPR1	647	0.604
ENST00000482645.1	ENSG00000171853.16	TRAPPC12	1538	0.657
ENST00000415131.1	ENSG00000182551.14	ADI1	654	0.532
ENST00000438482.1	ENSG00000242282.6	AC108488.1	914	0.536
ENST00000658393.1	ENSG00000286905.1	AC108488.2	2742	0.527
ENST00000454734.1	ENSG00000171865.10	RNASEH1	749	0.557
ENST00000664922.11	ENSG00000234171.3	RNASEH1-AS1	4333	0.493
ENST00000656939.11	ENSG00000287126.1	AC108488.3	3700	0.531
ENST00000481006.1	ENSG00000171863.15	RPS7	5429	0.436
ENST00000402922.2	ENSG00000118004.18	COLEC11	1134	0.575
ENST00000471711.1	ENSG00000151360.10	ALLC	725	0.466
ENST00000451101.1	ENSG00000214866.9	DCDC2C	717	0.476
ENST00000664559.1	ENSG00000237401.8	LINC01304	4548	0.45
ENST00000659398.1	ENSG00000231532.6	LINC01249	899	0.403
ENST00000420221.1	ENSG00000230090.5	AC108025.1	243	0.391
ENST00000659527.1	ENSG00000242540.3	AC010729.2	1419	0.449
ENST00000655406.11	ENSG00000236106.2	AC010729.1	2021	0.466
ENST00000662285.1	ENSG00000237266.2	LINC01810	1298	0.437
ENST00000659164.11	ENSG00000232044.7	SILC1	5937	0.449
ENST00000648803.11	ENSG00000234275.4	AC017053.1	1790	0.444
ENST00000663983.11	ENSG00000226488.2	LINC01824	1359	0.503
ENST00000654332.1	ENSG00000236172.7	MIR7515HG	2563	0.443
ENST00000382045.3	ENSG00000205837.7	LINC00487	2131	0.485
ENST00000662953.11	ENSG00000225964.6	NRIR	2055	0.457
ENST00000404168.1	ENSG00000134326.11	CMPK2	2042	0.559
ENST00000474872.11	ENSG00000134321.12	RSAD2	769	0.488
ENST00000668067.1	ENSG00000228203.7	RNF144A-AS1	3206	0.457
ENST00000432850.1	ENSG00000151692.15	RNF144A	805	0.549
ENST00000664324.11	ENSG00000223884.7	AC068481.1	1152	0.507
ENST00000658275.1	ENSG00000229727.7	AC013460.1	4633	0.412
ENST00000661927.1	ENSG00000226506.6	AC007463.1	644	0.46
ENST00000664226.1	ENSG00000235665.6	LINC00298	1899	0.407
ENST00000668575.1	ENSG00000236790.6	LINC00299	3830	0.401
ENST00000661966.1	ENSG00000229740.3	U91324.1	1198	0.392
ENST00000454224.1	ENSG00000236008.3	LINC01814	8839	0.463
ENST00000665989.1	ENSG00000235092.6	ID2-AS1	6025	0.469
ENST00000472142.1	ENSG00000115738.10	ID2	474	0.361
ENST00000459813.1	ENSG00000134313.16	KIDINS220	2036	0.374
ENST00000462696.1	ENSG00000143797.12	MBOAT2	580	0.519
ENST00000463302.1	ENSG00000242136.1	AC093904.2	547	0.475
ENST00000655626.1	ENSG00000244310.2	AC093904.3	1127	0.528
ENST00000484590.1	ENSG00000151693.11	ASAP2	3869	0.422
ENST00000497105.1	ENSG00000119185.13	ITGB1BP1	659	0.604
ENST00000460593.1	ENSG00000119203.14	CPSF3	3157	0.435
ENST00000481688.1	ENSG00000134330.19	IAH1	1011	0.546
ENST00000649972.1	ENSG00000151694.14	ADAM17	6573	0.385
ENST00000472619.21	ENSG00000239300.6	AC080162.1	339	0.431
ENST00000474715.1	ENSG00000134308.14	YWHAQ	709	0.413
ENST00000663385.1	ENSG00000240687.2	AC082651.1	1468	0.52
ENST00000483023.1	ENSG00000244260.2	AC082651.4	1852	0.53
ENST00000497182.1	ENSG00000115750.17	TAF1B	642	0.413
ENST00000494520.1	ENSG00000134317.18	GRHL1	780	0.476
ENST00000340444.1	ENSG00000188525.4	AC010969.1	2412	0.487
ENST00000535335.1	ENSG00000172059.11	KLF11	4033	0.468
ENST00000477304.1	ENSG00000205795.4	CYS1	507	0.655
ENST00000641198.11	ENSG00000171848.15	RRM2	3431	0.426
ENST00000422133.1	ENSG00000115756.13	HPCAL1	587	0.612
ENST00000443218.1	ENSG00000115758.13	ODC1	494	0.49
ENST00000670859.1	ENSG00000257135.7	ODC1-DT	2532	0.478
ENST00000431319.1	ENSG00000115761.16	NOL10	827	0.423
ENST00000635370.1	ENSG00000143882.12	ATP6V1C2	1578	0.468
ENST00000458536.1	ENSG00000143870.13	PDIA6	986	0.499
ENST00000652896.1	ENSG00000271952.2	LINC01954	754	0.469
ENST00000670240.1	ENSG00000145063.15	AC062028.1	2428	0.477
ENST00000405022.3	ENSG00000150873.12	C2orf50	980	0.615
ENST00000428481.1	ENSG00000162976.13	SLC66A3	831	0.434
ENST00000484951.1	ENSG00000134318.14	ROCK2	895	0.332
ENST00000675665.11	ENSG00000224177.8	LINC00570	1331	0.475
ENST00000663962.1	ENSG00000285569.2	AC099344.3	4835	0.43
ENST00000468775.1	ENSG00000169016.17	E2F6	1061	0.497
ENST00000432985.1	ENSG00000196208.14	GREB1	2052	0.567
ENST00000674199.1	ENSG00000134324.12	LPIN1	5448	0.471
ENST00000435175.1	ENSG00000228496.1	AC106875.1	1170	0.515
ENST00000654108.1	ENSG00000224184.6	MIR3681HG	1761	0.427
ENST00000483034.1	ENSG00000071575.11	TRIB2	600	0.618
ENST00000659947.1	ENSG00000225649.6	AC064875.1	3041	0.411
ENST00000418420.1	ENSG00000230448.5	LINC00276	3503	0.357
ENST00000418481.1	ENSG00000228505.5	AC011897.1	264	0.383
ENST00000464947.1	ENSG00000162981.14	LRATD1	677	0.501
ENST00000485694.1	ENSG00000151779.13	NBAS	1798	0.43
ENST00000621973.1	ENSG00000079785.15	DDX1	2183	0.409
ENST00000476839.2	ENSG00000231031.6	LINC01804	472	0.498
ENST00000641263.1	ENSG00000233718.8	MYCNOS	1313	0.487
ENST00000638417.1	ENSG00000134323.12	MYCN	1693	0.481
ENST00000667080.1	ENSG00000236289.4	GACAT3	2267	0.451
ENST00000428280.1	ENSG00000236989.5	AC130710.1	853	0.465
ENST00000655060.1	ENSG00000228876.4	AC010745.2	2085	0.407
ENST00000427950.1	ENSG00000224400.5	AC010880.1	432	0.44
ENST00000648675.1	ENSG00000237633.4	AC104623.1	1296	0.444
ENST00000633055.11	ENSG00000279663.2	AC104623.2	4006	0.353
ENST00000451689.1	ENSG00000197872.11	CYRIA	579	0.485
ENST00000669222.1	ENSG00000223536.6	AC008164.1	2610	0.395
ENST00000406397.1	ENSG00000163032.12	VSNL1	2725	0.401
ENST00000481708.1	ENSG00000163029.16	SMC6	3897	0.361
ENST00000614478.1	ENSG00000178295.15	GEN1	1864	0.467
ENST00000419802.1	ENSG00000170745.12	KCNS3	553	0.548
ENST00000468071.1	ENSG00000240857.2	RDH14	737	0.452
ENST00000444297.2	ENSG00000250741.6	NT5C1B-RDH14	1695	0.52
ENST00000490687.1	ENSG00000185013.16	NT5C1B	1768	0.544
ENST00000650025.1	ENSG00000236204.6	LINC01376	2080	0.407
ENST00000487581.1	ENSG00000143867.7	OSR1	4171	0.558
ENST00000443897.11	ENSG00000234597.2	AC010096.1	1709	0.404
ENST00000641932.1	ENSG00000237992.3	LINC01808	1643	0.436
ENST00000653306.1	ENSG00000228784.9	LINC00954	1151	0.483
ENST00000431392.1	ENSG00000183891.6	TTC32	779	0.519
ENST00000453014.1	ENSG00000118965.15	WDR35	1624	0.373
ENST00000658200.11	ENSG00000227210.2	AC079145.1	3836	0.443
ENST00000478482.1	ENSG00000132031.13	MATN3	793	0.451
ENST00000483117.1	ENSG00000068697.7	LAPTM4A	487	0.394
ENST00000429035.1	ENSG00000115884.11	SDC1	646	0.661
ENST00000424110.1	ENSG00000055917.15	PUM2	546	0.452
ENST00000651498.1	ENSG00000118960.13	HS1BP3	7728	0.55
ENST00000470099.1	ENSG00000118961.15	LDAH	2116	0.426
ENST00000673739.1	ENSG00000084674.15	APOB	5229	0.467
ENST00000622654.1	ENSG00000218819.6	TDRD15	5805	0.338
ENST00000670105.11	ENSG00000233005.2	AC018742.1	642	0.474
ENST00000664233.1	ENSG00000231204.7	AC011752.1	1426	0.414
ENST00000648747.11	ENSG00000235537.3	AC009411.2	1477	0.409
ENST00000667311.1	ENSG00000228538.7	AC009411.1	988	0.435
ENST00000435682.1	ENSG00000229621.2	LINC01822	2098	0.408
ENST00000637384.1	ENSG00000228999.4	AC096570.1	3185	0.381
ENST00000671077.1	ENSG00000233587.2	LINC01884	1401	0.368
ENST00000669447.1	ENSG00000232451.2	AC018467.1	820	0.462
ENST00000430051.1	ENSG00000235497.5	AC012506.4	572	0.495
ENST00000471654.1	ENSG00000119771.15	KLHL29	6385	0.556
ENST00000634300.11	ENSG00000283031.2	AC009242.1	2706	0.586
ENST00000439915.1	ENSG00000119778.15	ATAD2B	1406	0.519
ENST00000479859.1	ENSG00000173960.14	UBXN2A	403	0.489
ENST00000669179.1	ENSG00000205639.12	MFSD2B	2934	0.563
ENST00000443232.1	ENSG00000163026.12	WDCP	562	0.514
ENST00000452109.1	ENSG00000119782.14	FKBP1B	953	0.524
ENST00000478050.1	ENSG00000115128.7	SF3B6	720	0.424
ENST00000469867.11	ENSG00000219626.9	FAM228B	2495	0.474
ENST00000417886.1	ENSG00000115129.14	TP53I3	827	0.591
ENST00000465360.1	ENSG00000176732.7	PFN4	661	0.492
ENST00000610442.11	ENSG00000276087.2	AC008073.3	2281	0.443
ENST00000438414.1	ENSG00000232642.2	AC008073.2	674	0.519
ENST00000432434.1	ENSG00000186453.13	FAM228A	630	0.413
ENST00000416160.1	ENSG00000198399.14	ITSN2	3634	0.336
ENST00000662667.11	ENSG00000242628.6	AC009228.1	4658	0.452
ENST00000486198.1	ENSG00000084676.15	NCOA1	715	0.399
ENST00000487316.1	ENSG00000184924.5	PTRHD1	1014	0.482
ENST00000498362.1	ENSG00000138092.11	CENPO	761	0.491
ENST00000485887.1	ENSG00000138031.14	ADCY3	1002	0.541
ENST00000492985.1	ENSG00000115137.12	DNAJC27	485	0.369
ENST00000653368.1	ENSG00000224165.6	DNAJC27-AS1	4869	0.507
ENST00000402191.5	ENSG00000084710.14	EFR3B	3685	0.568
ENST00000449220.1	ENSG00000115138.11	POMC	883	0.681
ENST00000402667.1	ENSG00000119772.17	DNMT3A	2300	0.58
ENST00000431557.1	ENSG00000235072.2	ARNILA	419	0.554
ENST00000488457.1	ENSG00000138101.18	DTNB	865	0.583
ENST00000673455.1	ENSG00000143970.17	ASXL2	2192	0.484
ENST00000405914.1	ENSG00000084731.15	KIF3C	3180	0.618
ENST00000473035.1	ENSG00000084733.11	RAB10	571	0.412
ENST00000407684.1	ENSG00000157833.13	GAREM2	5138	0.588
ENST00000644428.1	ENSG00000084754.12	HADHA	3087	0.494
ENST00000494615.1	ENSG00000138029.14	HADHB	2883	0.435
ENST00000661577.1	ENSG00000286707.1	AC010896.1	2717	0.421
ENST00000651242.1	ENSG00000173567.15	ADGRF3	4452	0.546
ENST00000447170.1	ENSG00000138018.18	SELENOI	624	0.454
ENST00000649059.1	ENSG00000157856.12	DRC1	2229	0.511
ENST00000464574.1	ENSG00000115155.18	OTOF	918	0.611
ENST00000479453.1	ENSG00000173557.15	FAM166C	2363	0.55
ENST00000405346.3	ENSG00000157884.11	CIB4	609	0.483
ENST00000620977.11	ENSG00000171303.7	KCNK3	1956	0.658
ENST00000414029.1	ENSG00000213699.9	SLC35F6	3605	0.533
ENST00000460030.1	ENSG00000115163.15	CENPA	745	0.574
ENST00000484882.1	ENSG00000157851.17	DPYSL5	4181	0.576
ENST00000648289.1	ENSG00000084764.12	MAPRE3	1281	0.511
ENST00000423923.1	ENSG00000205500.8	MAPRE3-AS1	344	0.529
ENST00000460665.1	ENSG00000119777.20	TMEM214	1967	0.559
ENST00000437006.1	ENSG00000084693.16	AGBL5	489	0.646
ENST00000429985.1	ENSG00000228474.6	OST4	559	0.567
ENST00000433140.1	ENSG00000138080.14	EMILIN1	1431	0.67
ENST00000429697.1	ENSG00000138030.13	KHK	1303	0.606
ENST00000467539.1	ENSG00000138028.16	CGREF1	548	0.602
ENST00000622011.1	ENSG00000143994.14	ABHD1	3107	0.478
ENST00000474802.1	ENSG00000138073.14	PREB	1283	0.604
ENST00000432962.2	ENSG00000186143.11	PRR30	1440	0.61
ENST00000407815.3	ENSG00000163792.6	TCF23	572	0.615
ENST00000461757.11	ENSG00000138074.15	SLC5A6	2307	0.543
ENST00000419744.1	ENSG00000138085.17	ATRAID	612	0.48
ENST00000428460.1	ENSG00000084774.14	CAD	953	0.614
ENST00000482990.1	ENSG00000115194.11	SLC30A3	3447	0.534
ENST00000406962.1	ENSG00000163793.13	DNAJC5G	1562	0.477
ENST00000485306.1	ENSG00000138100.14	TRIM54	705	0.522
ENST00000616707.1	ENSG00000115204.15	MPV17	2315	0.525
ENST00000622534.1	ENSG00000115207.13	GTF3C2	1858	0.546
ENST00000662609.1	ENSG00000234945.8	GTF3C2-AS1	1053	0.524
ENST00000447070.11	ENSG00000234072.1	AC074117.1	3060	0.544
ENST00000462749.1	ENSG00000115211.16	EIF2B4	1089	0.514
ENST00000453453.1	ENSG00000115234.11	SNX17	1638	0.564
ENST00000407879.11	ENSG00000163795.14	ZNF513	2077	0.626
ENST00000472077.11	ENSG00000115241.11	PPM1G	3752	0.492
ENST00000486701.1	ENSG00000115216.14	NRBP1	813	0.501
ENST00000494572.1	ENSG00000157992.12	KRTCAP3	505	0.509
ENST00000674701.1	ENSG00000138002.16	IFT172	6271	0.509
ENST00000476197.1	ENSG00000115226.10	FNDC4	755	0.605
ENST00000472290.1	ENSG00000084734.9	GCKR	1302	0.532
ENST00000447166.21	ENSG00000221843.4	C2orf16	16401	0.442
ENST00000488055.1	ENSG00000243943.10	ZNF512	2465	0.412
ENST00000522876.1	ENSG00000176714.9	CCDC121	560	0.57
ENST00000461249.1	ENSG00000198522.14	GPN1	969	0.478
ENST00000464789.2	ENSG00000119760.16	SUPT7L	2664	0.453
ENST00000492196.1	ENSG00000163798.13	SLC4A1AP	2537	0.387
ENST00000476552.1	ENSG00000243147.8	MRPL33	587	0.419
ENST00000449378.1	ENSG00000171174.15	RBKS	2151	0.462
ENST00000496951.1	ENSG00000158019.21	BABAM2	738	0.427
ENST00000661521.11	ENSG00000223522.2	AC093690.1	3011	0.442
ENST00000445878.1	ENSG00000229951.5	FLJ31356	3001	0.479
ENST00000436647.1	ENSG00000075426.12	FOSL2	889	0.596
ENST00000436544.1	ENSG00000163803.13	PLB1	3543	0.491
ENST00000653462.1	ENSG00000226833.6	AC092164.1	3541	0.45
ENST00000464273.1	ENSG00000213639.10	PPP1CB	577	0.419
ENST00000491044.1	ENSG00000163806.16	SPDYA	898	0.399
ENST00000439947.1	ENSG00000171103.11	TRMT61B	1584	0.447
ENST00000466067.1	ENSG00000163811.12	WDR43	628	0.408
ENST00000475900.1	ENSG00000189350.12	TOGARAM2	7450	0.499
ENST00000602958.11	ENSG00000179270.7	PCARE	581	0.522
ENST00000662150.11	ENSG00000229224.2	AC105398.1	963	0.413
ENST00000491701.1	ENSG00000115295.20	CLIP4	1401	0.354
ENST00000642122.11	ENSG00000171094.18	ALK	2513	0.512
ENST00000455424.1	ENSG00000233862.7	AC016907.2	3563	0.427
ENST00000495673.1	ENSG00000119801.13	YPEL5	935	0.414
ENST00000467242.1	ENSG00000213626.13	LBH	1689	0.594
ENST00000666899.1	ENSG00000235997.3	LINC01936	2967	0.49
ENST00000497423.1	ENSG00000172954.14	LCLAT1	658	0.483
ENST00000490786.1	ENSG00000162949.16	CAPN13	506	0.413
ENST00000430167.1	ENSG00000158089.15	GALNT14	1619	0.599
ENST00000403897.41	ENSG00000214711.10	CAPN14	3792	0.487
ENST00000476043.1	ENSG00000158125.10	XDH	475	0.402
ENST00000413686.1	ENSG00000162959.13	MEMO1	769	0.528
ENST00000422413.1	ENSG00000162961.14	DPY30	601	0.499
ENST00000646571.1	ENSG00000021574.13	SPAST	5117	0.395
ENST00000406369.2	ENSG00000152683.14	SLC30A6	4589	0.378
ENST00000652197.11	ENSG00000091106.19	NLRC4	3402	0.451
ENST00000437765.1	ENSG00000119820.11	YIPF4	728	0.361
ENST00000648282.1	ENSG00000115760.14	BIRC6	11526	0.429
ENST00000646192.11	ENSG00000279897.2	BIRC6-AS2	830	0.357
ENST00000647819.1	ENSG00000018699.13	TTC27	3044	0.45
ENST00000663772.1	ENSG00000230876.8	LINC00486	2141	0.471
ENST00000666151.1	ENSG00000236854.2	LINC00486	1637	0.47
ENST00000422669.1	ENSG00000049323.16	LTBP1	810	0.48
ENST00000468856.1	ENSG00000152689.18	RASGRP3	3764	0.43
ENST00000403368.1	ENSG00000119812.19	FAM98A	2818	0.436
ENST00000658639.1	ENSG00000286415.1	AC017050.1	2278	0.405
ENST00000659537.1	ENSG00000228262.10	LINC01320	1871	0.398
ENST00000474610.1	ENSG00000239649.3	MYADML	2147	0.554
ENST00000606468.11	ENSG00000272027.2	AC073218.1	295	0.515
ENST00000664906.11	ENSG00000232153.3	AC012593.2	1159	0.465
ENST00000659872.1	ENSG00000226994.9	AC012593.1	1144	0.366
ENST00000413985.1	ENSG00000150938.10	CRIM1	874	0.489
ENST00000464964.1	ENSG00000171055.15	FEZ2	699	0.413
ENST00000464309.1	ENSG00000205221.12	VIT	579	0.47
ENST00000495595.1	ENSG00000115808.12	STRN	1026	0.41
ENST00000471051.1	ENSG00000008869.12	HEATR5B	836	0.367
ENST00000473067.1	ENSG00000152133.16	GPATCH11	532	0.414
ENST00000647926.1	ENSG00000055332.18	EIF2AK2	2235	0.404
ENST00000407963.1	ENSG00000138068.10	SULT6B1	902	0.435
ENST00000470216.1	ENSG00000218739.10	CEBPZOS	800	0.343
ENST00000489306.1	ENSG00000115816.15	CEBPZ	611	0.368
ENST00000469831.1	ENSG00000003509.16	NDUFAF7	845	0.459
ENST00000475912.1	ENSG00000115825.11	PRKD3	760	0.408
ENST00000469098.1	ENSG00000115828.17	QPCT	852	0.381
ENST00000659653.11	ENSG00000236213.2	AC006369.1	1281	0.434
ENST00000611976.11	ENSG00000163171.8	CDC42EP3	5124	0.414
ENST00000655948.1	ENSG00000237803.6	LINC00211	2098	0.442
ENST00000496735.1	ENSG00000115841.21	RMDN2	755	0.327
ENST00000629814.1	ENSG00000235848.4	RMDN2-AS1	679	0.457
ENST00000614273.1	ENSG00000138061.12	CYP1B1	2174	0.595
ENST00000653994.1	ENSG00000232973.13	CYP1B1-AS1	2596	0.493
ENST00000651368.1	ENSG00000119787.14	ATL2	1600	0.421
ENST00000659803.1	ENSG00000231367.6	LINC02613	1700	0.473
ENST00000605062.1	ENSG00000271443.1	AC011247.2	570	0.616
ENST00000498516.1	ENSG00000143889.16	HNRNPLL	655	0.598
ENST00000434934.1	ENSG00000143891.17	GALM	724	0.489
ENST00000446277.1	ENSG00000232518.3	AC074366.1	552	0.496
ENST00000415527.1	ENSG00000115875.19	SRSF7	1135	0.519
ENST00000409566.1	ENSG00000152147.11	GEMIN6	834	0.476
ENST00000492042.1	ENSG00000163214.21	DHX57	555	0.431
ENST00000644631.2	ENSG00000188010.14	MORN2	706	0.395
ENST00000488692.1	ENSG00000214694.11	ARHGEF33	615	0.403
ENST00000474390.1	ENSG00000115904.13	SOS1	672	0.366
ENST00000594472.11	ENSG00000229692.3	SOS1-IT1	1191	0.359
ENST00000419111.1	ENSG00000205111.8	CDKL4	388	0.34
ENST00000479708.1	ENSG00000011566.15	MAP4K3	577	0.39
ENST00000671403.1	ENSG00000231312.7	MAP4K3-DT	4190	0.47
ENST00000618232.1	ENSG00000152154.11	TMEM178A	1286	0.476
ENST00000530522.1	ENSG00000138050.15	THUMPD2	1561	0.403
ENST00000610721.1	ENSG00000227028.6	SLC8A1-AS1	956	0.418
ENST00000417271.1	ENSG00000183023.18	SLC8A1	583	0.439
ENST00000420187.1	ENSG00000233128.2	LINC01794	549	0.372
ENST00000452488.1	ENSG00000237442.3	HNRNPA1P57	958	0.448
ENST00000657390.1	ENSG00000214691.9	LINC01913	2067	0.474
ENST00000436551.2	ENSG00000234362.6	LINC01914	974	0.441
ENST00000649862.1	ENSG00000205086.8	C2orf91	1241	0.536
ENST00000490302.1	ENSG00000162878.13	PKDCC	1447	0.57
ENST00000458490.1	ENSG00000224875.2	EML4-AS1	552	0.582
ENST00000480320.1	ENSG00000143924.19	EML4	1932	0.366
ENST00000607768.1	ENSG00000115944.15	COX7A2L	614	0.428
ENST00000306078.21	ENSG00000171126.8	KCNG3	3709	0.475
ENST00000491314.1	ENSG00000057935.14	MTA3	703	0.408
ENST00000402268.1	ENSG00000162882.15	HAAO	908	0.547
ENST00000668762.1	ENSG00000231826.6	LINC01819	2393	0.549
ENST00000661106.1	ENSG00000230587.2	LINC02580	2327	0.48
ENST00000669652.11	ENSG00000286796.1	AC010883.2	2460	0.563
ENST00000403856.1	ENSG00000115970.18	THADA	6939	0.39
